scoutId,regio1,regio2,regio3,geo_plz,baseRent,totalRent,serviceCharge,heatingCosts,livingSpace,noRooms,yearConstructed,condition,typeOfFlat,energyEfficiencyClass,heatingType,pricetrend,newlyConst,balcony,lift,cellar,garden,hasKitchen,date
113843673,Nordrhein_Westfalen,Märkischer_Kreis,Lüdenscheid,58509,485.0,635.0,150.0,,60.0,2.0,,,roof_storey,,,2.51,False,True,False,True,False,False,Oct19
111412216,Sachsen,Chemnitz,Kaßberg,9112,375.0,535.0,160.0,90.0,74.0,3.0,1999.0,,,,,0.36,False,True,False,False,False,False,May19
106559401,Thüringen,Weimar,Westvorstadt,99423,560.0,680.0,120.0,,70.0,3.5,1908.0,well_kept,raised_ground_floor,,self_contained_central_heating,3.7,False,False,False,True,False,False,Sep18
111183950,Sachsen,Leipzig,Schleußig,4229,1570.0,1910.0,340.0,,136.57,4.0,,,roof_storey,,floor_heating,5.45,False,True,True,True,False,False,May19
95237612,Niedersachsen,Celle_Kreis,Celle,29221,280.0,365.0,85.0,,39.0,2.0,,well_kept,apartment,,gas_heating,5.01,False,False,False,True,False,True,May19
93514731,Niedersachsen,Wesermarsch_Kreis,Nordenham,26954,250.0,,150.0,,45.0,1.5,1977.0,,ground_floor,,central_heating,1.92,False,False,False,False,False,True,Feb20
111366987,Nordrhein_Westfalen,Krefeld,Fischeln,47807,389.0,,139.0,45.0,62.0,2.5,1973.0,well_kept,ground_floor,,central_heating,3.17,False,True,True,True,False,False,May19
111278897,Baden_Württemberg,Schwäbisch_Hall_Kreis,Bühlertann,74424,500.0,600.0,100.0,,85.0,3.0,1973.0,fully_renovated,ground_floor,,electric_heating,3.15,False,True,False,False,False,True,May19
115469169,Sachsen,Dresden,Prohlis_Süd,1239,196.0,307.0,53.0,59.0,26.43,1.0,1979.0,fully_renovated,apartment,,,1.25,False,True,True,True,False,False,Feb20
113722739,Niedersachsen,Goslar_Kreis,Bad_Harzburg,38667,265.5,,92.7,64.0,51.12,2.0,1981.0,,,,central_heating,3.03,False,False,False,False,False,False,Oct19
106869423,Baden_Württemberg,Rhein_Neckar_Kreis,Sinsheim,74889,1580.0,1770.0,190.0,,121.0,2.5,2018.0,,apartment,,,4.77,True,False,False,True,False,False,Sep18
72094827,Sachsen,Leipzig,Zentrum_Süd,4107,425.0,615.0,125.0,,50.0,2.0,1998.0,well_kept,apartment,,gas_heating,4.99,False,False,True,True,True,False,Oct19
86784337,Nordrhein_Westfalen,Recklinghausen_Kreis,Castrop_Rauxel,44575,590.0,805.0,215.0,,89.35,3.0,1997.0,well_kept,,B,central_heating,3.3,False,True,False,True,False,False,Oct19
107374302,Thüringen,Gera,Bieblach_Ost,7552,558.0,808.0,250.0,,124.23,5.0,1987.0,well_kept,apartment,,district_heating,4.17,False,True,False,True,False,False,Sep18
102833328,Sachsen,Chemnitz,Sonnenberg,9130,308.0,458.0,150.0,,68.5,2.0,1997.0,well_kept,apartment,,central_heating,0.0,False,True,True,True,False,True,Sep18
110744619,Niedersachsen,Osnabrück,Schinkel,49084,579.88,736.88,103.0,54.0,61.04,3.0,1938.0,,roof_storey,E,central_heating,6.85,False,False,False,True,False,False,May19
115338179,Nordrhein_Westfalen,Duisburg,Großenbaum,47259,585.0,760.0,175.0,,70.0,3.0,1973.0,,apartment,,,2.78,False,True,False,True,False,True,Feb20
113850297,Sachsen,Chemnitz,Hutholz,9123,172.2,272.2,100.0,,41.0,2.0,,well_kept,apartment,,district_heating,-0.41,False,True,False,True,True,True,Oct19
106554369,Sachsen,Chemnitz,Morgenleite,9122,580.0,820.0,240.0,,103.8,4.0,1985.0,well_kept,apartment,,district_heating,0.0,False,True,True,False,False,False,Sep18
114339923,Sachsen,Leipzig,Heiterblick,4329,530.0,710.0,180.0,,68.0,3.0,1995.0,fully_renovated,maisonette,,central_heating,2.82,False,True,True,True,False,False,Feb20
111246170,Nordrhein_Westfalen,Essen,Kettwig,45219,1750.0,2036.0,286.0,,131.0,3.5,2019.0,first_time_use,penthouse,A,floor_heating,3.85,True,True,True,True,False,False,May19
113057797,Hamburg,Hamburg,Lohbrügge,21031,490.0,560.0,70.0,,34.44,1.0,1900.0,,ground_floor,,district_heating,4.84,False,True,False,False,False,True,Oct19
113861503,Niedersachsen,Hildesheim_Kreis,Hildesheim,31135,400.0,470.0,70.0,,55.0,1.0,1890.0,mint_condition,roof_storey,,gas_heating,5.28,False,False,False,True,False,True,Oct19
108141996,Sachsen,Leipzig,Südvorstadt,4275,1117.49,1413.72,143.76,92.47,93.76,4.0,2018.0,,apartment,,,5.53,True,True,True,False,False,True,May19
101556283,Sachsen_Anhalt,Dessau_Roßlau,Innerstädtischer_Bereich_Nord,6844,310.0,368.0,58.0,,51.42,2.0,,mint_condition,,,self_contained_central_heating,1.62,False,False,False,True,True,False,Feb20
113562615,Schleswig_Holstein,Flensburg,Westliche_Höhe,24939,620.0,830.0,210.0,105.0,93.0,4.0,1964.0,well_kept,apartment,E,central_heating,3.4,False,False,False,True,False,True,Oct19
